,B,G,R,Time_ms,Time_s,B_F,G_F,R_F,Green_Source,GRD_Source,ICA_Source_0,ICA_Source_1,ICA_Source_2,ICA_Best_Source
0,2.001987862510036,2.287526899033389,1.337841179183427,0.0,0.0,1.5577010115703516,1.4504148864277469,1.2238150547761335,1.4504148864277469,0.22659983165161335,0.016184631018557664,0.00977755106675049,-0.011568383553500228,0.00977755106675049
1,2.619388424156904,2.0921842820183105,2.0147841347744264,33.333333333333336,0.03333333333333334,1.7068628588350148,1.613130561362632,1.3543630499484491,1.613130561362632,0.25876751141418297,0.017992143751259307,0.011006106908325717,-0.012228064278367904,0.011006106908325717
2,2.6676108080709073,2.0815632259717614,2.101182810515188,66.66666666666667,0.06666666666666668,1.84801718067238,1.774719770257428,1.486020331648142,1.774719770257428,0.28869943860928604,0.01983442600567381,0.012173070524889121,-0.012699783679322778,0.012173070524889121
3,2.105694871840287,2.0668171136749036,1.5901242609479296,100.0,0.1,1.9659297741933173,1.919051581323293,1.6110108734411257,1.919051581323293,0.3080407078821672,0.021599109899206787,0.01303681626667359,-0.012894215891720382,0.01303681626667359
4,2.2897541820336604,2.001143905053385,1.9044924270140722,133.33333333333334,0.13333333333333336,2.0395346880779823,2.0243960438412913,1.7132237512654793,2.0243960438412913,0.311172292575812,0.02306514782792402,0.01340161344021753,-0.01269073066898233,0.01340161344021753
5,2.0327698634226863,2.0903916173860786,1.5539298659083418,166.66666666666666,0.16666666666666666,2.0544676439757947,2.076968172455793,1.7769153398340205,2.076968172455793,0.3000528326217726,0.024025487749768516,0.013270025265204446,-0.01200054571007154,0.013270025265204446
6,2.307057022582348,1.9991584807833238,1.9373223466977443,200.0,0.2,2.0133616246361243,2.080856265604187,1.798212997211337,2.080856265604187,0.2826432683928499,0.024438439577933836,0.01283720873350294,-0.010828993338177577,0.01283720873350294
7,1.959967575531242,2.0556009672578117,1.6706809534740186,233.3333333333333,0.23333333333333328,1.9350774879591235,2.0558167211624094,1.7890694669635951,2.0558167211624094,0.2667472541988143,0.024471755847103427,0.01234313823051212,-0.00928479271564651,0.01234313823051212
8,1.9353229826378215,2.0531065343184305,1.5882613891585435,266.6666666666667,0.2666666666666667,1.843965989743501,2.0260777463191153,1.7698108516897142,2.0260777463191153,0.2562668946294011,0.024399127968015546,0.011952238466745174,-0.007518816873082206,0.011952238466745174
9,1.8524153078187102,2.0148854605573256,1.5818223719864342,300.0,0.3,1.7587031704739775,2.0093753910236054,1.757014035469432,2.0093753910236054,0.2523613555541735,0.024439749520043238,0.011746439876316439,-0.005659171564200943,0.011746439876316439
10,1.6647165016357763,2.0369179165049838,1.6175218101227333,333.3333333333333,0.3333333333333333,1.6886161631724288,2.0124228190563165,1.7567551381152935,2.0124228190563165,0.255667680941023,0.024667020726804698,0.011763459233810405,-0.0038126246117045426,0.011763459233810405
11,1.3803771859683795,1.8529121269354336,1.9346200086621548,366.6666666666666,0.3666666666666666,1.6364487848942577,2.0328297962032966,1.7664828887359516,2.0328297962032966,0.266346907467345,0.02503095024830088,0.012004532248067648,-0.002097331218490142,0.012004532248067648
12,1.6879408726476852,2.0615296548398705,1.6989337158666262,400.0,0.4,1.601798316317037,2.063867177866028,1.7808484555776198,2.063867177866028,0.28301872228840796,0.025439409943943416,0.012423114261406838,-0.0006334722412266004,0.012423114261406838
13,1.9312918906420555,2.0671327934040784,1.928618554365078,433.33333333333337,0.4333333333333334,1.5829989494750085,2.09874540136693,1.7957643040309497,2.09874540136693,0.30298109733598033,0.02581996096107528,0.012940793828927414,0.0004930948095001997,0.012940793828927414
14,1.9383328867889418,2.06847142719076,1.9928979738585746,466.66666666666674,0.46666666666666673,1.5776350004588924,2.132659594993568,1.808824160532722,2.132659594993568,0.32383543446084606,0.02613136322378809,0.013489674477161703,0.001254443049068231,0.013489674477161703
15,1.380477080856752,2.028575969149731,1.5990253649417696,500.0,0.5,1.5807924494048589,2.162201141526642,1.8178276227328765,2.162201141526642,0.34437351879376554,0.02634810934420288,0.014029986726637035,0.0017114828465290236,0.014029986726637035
16,1.556700161896504,1.9377357059264904,2.1924936233744754,533.3333333333334,0.5333333333333334,1.582918646423022,2.183708499055213,1.819976902630395,2.183708499055213,0.363731596424818,0.026450652384147635,0.014525028208977695,0.002037991357548918,0.014525028208977695
17,1.1220483033823607,2.0813791059432503,1.6461339508667296,566.6666666666666,0.5666666666666667,1.5717236256355474,2.1931170537916165,1.81247921367674,2.1931170537916165,0.38063784011487645,0.026426523402634173,0.014925237261875644,0.0024707799778626127,0.014925237261875644
18,1.2785706827674397,2.1247076692120057,1.7158891586637939,600.0,0.6,1.5378678633208454,2.187654598936819,1.7933577455039955,2.187654598936819,0.3942968534328235,0.0262692963961895,0.015197576522278867,0.0031956920897862487,0.015197576522278867
19,1.555911296934762,2.324583900031898,1.7785337185106986,633.3333333333333,0.6333333333333333,1.4796152432978797,2.1671812560498123,1.7619751436398505,2.1671812560498123,0.40520611240996174,0.02597578963322726,0.0153516173085586,0.004253180573980772,0.0153516173085586
20,1.8484100871600233,2.4677285157345357,1.7368494464725623,666.6666666666666,0.6666666666666666,1.403371541209917,2.133555119527487,1.7201109967462982,2.133555119527487,0.4134441227811887,0.02555561204888267,0.015399131743492738,0.0055160473693464255,0.015399131743492738
21,1.6160757133633674,2.3897662529787342,1.8102666995021377,700.0,0.7000000000000001,1.3197782013065833,2.0886667178278375,1.672594239958899,2.0886667178278375,0.4160724778689384,0.02504388391355814,0.015286204571024148,0.006756617160722088,0.015286204571024148
